question,answer
Global gitops can write MDM config profiles.,"allow { 
object.type == ""mdm_config_profile"" 
subject.global_role == gitops 
action == write 
} 
"
Global gitops can write global enroll secrets.,"allow { 
object.type == ""enroll_secret"" 
object.is_global_secret 
subject.global_role == gitops 
action == write 
} 
"
"Team admin, maintainers, and gitops can write (upload) saved scripts for their teams.","allow { 
object.type == ""script"" 
not is_null(object.team_id) 
team_role(subject, object.team_id) == [admin, maintainer, gitops][_] 
action == write 
} 
"
"Action used on object ""targeted_query"" used for running live queries.","run := ""run"""
Global gitops can write MDM Apple settings.,"allow { 
object.type == ""mdm_apple_settings"" 
subject.global_role == gitops 
action == write 
} 
"
"Global admins, maintainers and gitops can write queries.","allow { 
object.type == ""query"" 
subject.global_role == [admin, maintainer, gitops][_] 
action == write 
} 
"
Global admins and gitops can write global config.,"allow { 
object.type == ""app_config"" 
subject.global_role == [admin, gitops][_] 
action == write 
} 
"
"Allow read for host health for team admin/maintainer, team admins, observer.","allow { 
object.type == ""host_health"" 
team_role(subject, object.team_id) == [admin, maintainer, observer][_] 
action == read 
} 
"
Global admins can read and write Apple MDM enrollments.,"allow { 
object.type == ""mdm_apple_enrollment_profile"" 
subject.global_role == admin 
action == [read, write][_] 
} 
"
"Team admins, maintainers, observer_plus and observers can read their team.","allow { 
object.type == ""team"" 
object.id != 0 
team_role(subject, object.id) == [admin, maintainer, observer, observer_plus][_] 
action == read 
} 
"
"Global admin, maintainer, observer_plus and observer can read global config.","allow { 
object.type == ""app_config"" 
subject.global_role == [admin, maintainer, observer_plus, observer][_] 
action == read 
} 
"
Team observer and observer_plus can read policies for their teams.,"allow { 
not is_null(object.team_id) 
object.type == ""policy"" 
team_role(subject, object.team_id) == [observer, observer_plus][_] 
action == read 
} 
"
"Team admins, maintainers, observers and observer_plus can read all software in their teams.","allow { 
not is_null(object.team_id) 
object.type == ""software_inventory"" 
team_role(subject, object.team_id) == [admin, maintainer, observer, observer_plus][_] 
action == read 
} 
"
Global admins and maintainers can write (execute) MDM commands.,"allow { 
object.type == ""mdm_command"" 
subject.global_role == [admin, maintainer][_] 
action == write 
} 
"
"Team admin, maintainer and observer_plus running a non-observers_can_run query that belongs to their team when no target teams are specified.","allow { 
object.type == ""targeted_query"" 
object.observer_can_run == false 
is_null(subject.global_role) 
action == run 
 
team_role(subject, object.team_id) == [admin, maintainer, observer_plus][_] 
"
Global admins can read and write Apple DEP devices.,"allow { 
object.type == ""mdm_apple_dep_device"" 
subject.global_role == admin 
action == [read, write][_] 
} 
"
access) if the overall object is specified,"allow { 
object.type == ""team"" 
object.id == 0 
not is_null(subject) 
action == read 
} 
"
Global observer and observer_plus can read any policies.,"allow { 
object.type == ""policy"" 
subject.global_role == [observer, observer_plus][_] 
action == read 
} 
"
"Team admin, maintainers, observers and observers_plus can read global policies","allow { 
is_null(object.team_id) 
object.type == ""policy"" 
team_role(subject, subject.teams[_].id) == [admin, maintainer, observer, observer_plus][_] 
action == read 
} 
"
Any logged in user can read Fleet's version,"allow { 
object.type == ""version"" 
not is_null(subject) 
action == read 
} 
"
there are no team targets,"is_null(object.host_targets.teams) 
} 
"
"Team admins, maintainers, observer_plus and observers can read labels.","allow { 
object.type == ""label"""
filtered to only teams that they observe.,"allow { 
object.type == ""targeted_query"" 
object.observer_can_run == true 
is_null(subject.global_role) 
action == run 
 
team_role(subject, object.team_id) == [admin, maintainer, observer_plus, observer][_] 
 
not is_null(object.host_targets.teams) 
ok_teams := { tmid | tmid := object.host_targets.teams[_]; team_role(subject, tmid) == [admin, maintainer, observer_plus, observer][_] } 
count(ok_teams) == count(object.host_targets.teams) 
} 
"
"Global admins, maintainers and observer_plus can run any new query.","allow { 
object.type == ""query"" 
subject.global_role == [admin, maintainer, observer_plus][_] 
action = run_new 
} 
"
"Global admin, maintainer, observer_plus and observer can read targets.","allow { 
object.type == ""target"" 
subject.global_role == [admin, maintainer, observer_plus, observer][_] 
action == read 
} 
"
"Global admins, maintainers, and gitops can read and write policies.","allow { 
object.type == ""policy"" 
subject.global_role == [admin, maintainer, gitops][_] 
action == [read, write][_] 
} 
"
Global admins can read and write MDM apple information.,"allow { 
object.type == ""mdm_apple"" 
subject.global_role == admin 
action == [read, write][_] 
} 
"
Global admins and maintainers can read and write MDM Apple settings.,"allow { 
object.type == ""mdm_apple_settings"" 
subject.global_role == [admin, maintainer][_] 
action == [read, write][_] 
} 
"
relates to fleetctl apply).,"allow { 
object.type == ""host_script_result"" 
not is_null(object.script_id) 
not is_null(object.team_id) 
team_role(subject, object.team_id) == [admin, maintainer, observer_plus, observer][_] 
action == write 
} 
"
and there are no team targets,"is_null(object.host_targets.teams) 
} 
"
Team gitops can write macos setup assistants on their teams.,"allow { 
not is_null(object.team_id) 
object.team_id != 0 
object.type == ""mdm_apple_setup_assistant"" 
team_role(subject, object.team_id) == gitops 
action == write 
} 
"
"Team admin, maintainer, observer_plus and observer running a global observers_can_run query and there are no target teams.","allow { 
object.type == ""targeted_query"" 
object.observer_can_run == true 
is_null(subject.global_role) 
action == run 
 
is_null(object.team_id) 
"
Only global admins can read/write carves,"allow { 
object.type == ""carve"" 
subject.global_role == admin 
action == [read, write][_] 
} 
"
"Team admin, maintainer, observer_plus and observer can read global config.","allow { 
object.type == ""target"""
"Team admins, maintainers, observer_plus and observers can read global queries.","allow { 
object.type == ""query"" 
is_null(object.team_id) 
team_role(subject, subject.teams[_].id) == [admin, maintainer, observer_plus, observer][_] 
action == read 
} 
"
Team gitops can write MDM config profiles on their teams.,"allow { 
not is_null(object.team_id) 
object.team_id != 0 
object.type == ""mdm_config_profile"" 
team_role(subject, object.team_id) == gitops 
action == write 
} 
"
Admins can read/write all user sessions,"allow { 
object.type == ""session"" 
subject.global_role == admin 
action == [read, write][_] 
} 
"
"If role is admin, maintainer or observer_plus on any team.","team_role(subject, subject.teams[_].id) == [admin, maintainer, observer_plus][_] 
action == run_new 
} 
"
Team admins and maintainers can read/write for appropriate teams.,"allow { 
object.type == ""enroll_secret"" 
team_role(subject, object.team_id) == [admin, maintainer][_] 
action == [read, write][_] 
} 
"
"Team admins, maintainers, gitops, observer_plus and observers can read queries for their teams.","allow { 
object.type == ""query"" 
not is_null(object.team_id) 
team_role(subject, object.team_id) == [admin, maintainer, gitops, observer_plus, observer][_] 
action == read 
} 
"
"Global admins, maintainers, observers and observer_plus can read MDM commands.","allow { 
object.type == ""mdm_command"" 
subject.global_role == [admin, maintainer, observer, observer_plus][_] 
action == read 
} 
"
Global admins may read/write invites,"allow { 
object.type == ""invite"" 
subject.global_role == admin 
action == [read,write][_] 
} 
"
Global gitops can write bootstrap packages.,"allow { 
object.type == ""mdm_apple_bootstrap_package"" 
subject.global_role == gitops 
action == write 
} 
"
User specific actions,"write_role := ""write_role"" 
change_password := ""change_password"" 
"
Global admins and maintainers can read and write macos setup assistants.,"allow { 
object.type == ""mdm_apple_setup_assistant"" 
subject.global_role == [admin, maintainer][_] 
action == [read, write][_] 
} 
"
Global observers can run only if observers_can_run.,"allow { 
object.type == ""targeted_query"" 
object.observer_can_run == true 
subject.global_role == observer 
action = run 
} 
"
"Team admins, maintainers, observers and observer_plus can read MDM commands on hosts of their teams.","allow { 
not is_null(object.team_id) 
object.type == ""mdm_command"" 
team_role(subject, object.team_id) == [admin, maintainer, observer, observer_plus][_] 
action == read 
} 
"
if the user has no explicit role for that team.,"team_role(subject, team_id) = role { 
subject_team := subject.teams[_] 
subject_team.id == team_id 
role := subject_team.role 
} 
"
"Global admins, maintainers, observer_plus and observers can read scripts.","allow { 
object.type == ""script"" 
subject.global_role == [admin, maintainer, observer, observer_plus][_] 
action == read 
} 
"
"Global admins, maintainers, gitops, observer_plus and observers can read queries.","allow { 
object.type == ""query"" 
subject.global_role == [admin, maintainer, gitops, observer_plus, observer][_] 
action == read 
} 
"
"Global admins, maintainers, observer_plus and observers can read activities.","allow { 
object.type == ""activity"" 
subject.global_role == [admin, maintainer, observer_plus, observer][_] 
action == read 
} 
"
"If role is admin, maintainer, observer_plus or observer on any team.","team_role(subject, subject.teams[_].id) == [admin, maintainer, observer_plus, observer][_] 
action == read 
} 
"
